[run number],vaccination-rate,removal-rate,claim-rate,number-people,duration,bite-rate,infectiousness,chance-recover,[step],count turtles with [ sick? ],count turtles with [ exposed? ],count turtles with [ immune? ],count turtles,peak-sick,total-infected-ever,total-removed,total-claimed,total-died
1993,60,80,50,100,3,73,74,1,156,0,0,43,83,5,71,0,0,0
1996,60,80,50,100,3,73,74,1,156,0,0,56,156,3,3,0,0,0
1997,60,80,50,100,3,73,74,1,156,0,0,35,75,6,70,0,0,0
1995,60,80,50,100,3,73,74,1,156,0,0,75,205,3,5,0,0,0
1999,60,80,50,100,3,73,74,1,156,0,0,48,158,3,10,0,0,0
2005,60,80,50,100,3,73,74,1,156,0,0,50,64,6,46,70,30,40
2000,60,80,50,100,3,73,74,1,156,0,0,46,97,6,67,0,0,0
1998,60,80,50,100,3,73,74,1,156,0,0,66,183,3,3,0,0,0
2004,60,80,50,100,3,73,74,1,156,0,0,56,77,4,33,92,37,55
2002,60,80,50,100,3,73,74,1,156,0,0,61,173,3,9,0,0,0
2003,60,80,50,100,3,73,74,1,156,0,0,45,60,5,59,77,32,45
2001,60,80,50,100,3,73,74,1,156,0,0,68,173,3,14,0,0,0
2006,60,80,50,100,3,73,74,1,156,0,0,48,139,5,23,0,0,0
2009,60,80,50,100,3,73,74,1,156,0,0,73,112,4,18,82,41,41
2007,60,80,50,100,3,73,74,1,156,0,0,50,108,5,49,0,0,0
2010,60,80,50,100,3,73,74,1,156,0,0,47,67,6,73,83,40,43
2008,60,80,50,100,3,73,74,1,156,0,0,49,144,4,16,0,0,0
2011,60,80,50,150,3,73,74,1,156,0,0,87,140,6,27,118,56,62
2012,60,80,50,150,3,73,74,1,156,0,0,83,140,5,22,118,52,66
2013,60,80,50,150,3,73,74,1,156,0,0,81,113,6,42,111,50,61
2015,60,80,50,150,3,73,74,1,156,0,0,86,143,5,27,122,58,64
2016,60,80,50,150,3,73,74,1,156,0,0,102,148,5,35,130,64,66
2018,60,80,50,150,3,73,74,1,156,0,0,84,130,5,19,121,49,72
2014,60,80,50,150,3,73,74,1,156,0,0,103,162,5,21,121,64,57
2017,60,80,50,150,3,73,74,1,156,0,0,91,146,6,30,126,58,68
2019,60,80,50,150,3,73,74,1,156,0,0,69,123,6,35,118,54,64
2022,60,80,50,150,3,73,74,1,156,0,0,87,145,6,34,115,55,60
2024,60,80,50,150,3,73,74,1,156,0,0,79,120,6,35,121,47,74
2020,60,80,50,150,3,73,74,1,156,0,0,107,167,3,22,126,59,67
2021,60,80,50,150,3,73,74,1,156,0,0,110,172,6,20,123,65,58
2023,60,80,50,150,3,73,74,1,156,0,0,87,144,5,21,118,56,62
2026,60,80,50,150,3,73,74,1,156,0,0,74,105,5,22,117,59,58
2028,60,80,50,150,3,73,74,1,156,0,0,62,103,6,44,110,37,73
2029,60,80,50,150,3,73,74,1,156,0,0,77,122,6,37,118,51,67
2031,60,80,50,150,3,73,74,1,156,0,0,67,112,6,31,113,50,63
2030,60,80,50,150,3,73,74,1,156,0,0,104,156,3,24,121,58,63
2027,60,80,50,150,3,73,74,1,156,0,0,104,154,4,24,124,55,69
2033,60,80,50,150,3,73,74,1,156,0,0,86,117,6,27,115,55,60
2032,60,80,50,150,3,73,74,1,156,0,0,76,115,6,46,106,50,56
2035,60,80,50,150,3,73,74,1,156,0,0,82,119,5,30,118,53,65
2037,60,80,50,150,3,73,74,1,156,0,0,76,109,5,37,114,50,64
2036,60,80,50,150,3,73,74,1,156,0,0,88,129,6,37,121,53,68
2025,60,80,50,150,3,73,74,1,156,0,0,104,300,3,4,0,0,0
2038,60,80,50,150,3,73,74,1,156,0,0,88,142,6,32,123,59,64
2040,60,80,50,150,3,73,74,1,156,0,0,81,123,5,38,122,49,73
2039,60,80,50,150,3,73,74,1,156,0,0,86,139,4,26,122,59,63
2034,60,80,50,150,3,73,74,1,156,0,0,91,250,5,11,0,0,0
2041,60,80,50,200,3,73,74,1,156,0,0,120,182,6,32,158,69,89
2045,60,80,50,200,3,73,74,1,156,0,0,109,165,5,20,155,66,89
2042,60,80,50,200,3,73,74,1,156,0,0,153,210,6,31,159,78,81
2043,60,80,50,200,3,73,74,1,156,0,0,114,156,6,32,165,76,89
2044,60,80,50,200,3,73,74,1,156,0,0,130,194,6,30,158,74,84
2048,60,80,50,200,3,73,74,1,156,0,0,98,148,6,33,153,62,91
2047,60,80,50,200,3,73,74,1,156,0,0,118,177,5,35,161,73,88
2046,60,80,50,200,3,73,74,1,156,0,0,157,229,5,35,167,81,86
2050,60,80,50,200,3,73,74,1,156,0,0,113,175,5,33,169,67,102
2052,60,80,50,200,3,73,74,1,156,0,0,102,172,6,43,162,65,97
2049,60,80,50,200,3,73,74,1,156,0,0,93,149,6,49,158,67,91
2051,60,80,50,200,3,73,74,1,156,0,0,143,227,5,31,160,79,81
2056,60,80,50,200,3,73,74,1,156,0,0,76,127,6,40,154,60,94
2054,60,80,50,200,3,73,74,1,156,0,0,102,162,6,37,154,67,87
2053,60,80,50,200,3,73,74,1,156,0,0,119,192,5,23,163,80,83
2055,60,80,50,200,3,73,74,1,156,0,0,115,182,5,33,161,70,91
2057,60,80,50,200,3,73,74,1,156,0,0,97,142,6,47,166,63,103
2059,60,80,50,200,3,73,74,1,156,0,0,121,169,6,44,156,73,83
2058,60,80,50,200,3,73,74,1,156,0,0,141,195,6,25,155,81,74
2061,60,80,50,200,3,73,74,1,156,0,0,105,160,6,28,161,77,84
2060,60,80,50,200,3,73,74,1,156,0,0,123,186,6,35,163,86,77
2063,60,80,50,200,3,73,74,1,156,0,0,88,126,6,42,160,65,95
2062,60,80,50,200,3,73,74,1,156,0,0,95,153,6,31,152,65,87
2067,60,80,50,200,3,73,74,1,156,0,0,90,148,6,29,155,67,88
2064,60,80,50,200,3,73,74,1,156,0,0,114,168,5,34,161,67,94
2066,60,80,50,200,3,73,74,1,156,0,0,108,175,6,26,159,65,94
2065,60,80,50,200,3,73,74,1,156,0,0,130,201,6,32,170,68,102
2069,60,80,50,200,3,73,74,1,156,0,0,107,164,6,42,157,65,92
2072,60,90,50,100,3,73,74,1,156,0,0,57,90,5,17,88,39,49
2068,60,80,50,200,3,73,74,1,156,0,0,96,147,6,38,154,63,91
2073,60,90,50,100,3,73,74,1,156,0,0,52,132,4,21,0,0,0
2071,60,90,50,100,3,73,74,1,156,0,0,62,179,3,7,0,0,0
2076,60,90,50,100,3,73,74,1,156,0,0,52,67,5,43,78,35,43
2070,60,80,50,200,3,73,74,1,156,0,0,105,175,5,32,163,71,92
2079,60,90,50,100,3,73,74,1,156,0,0,60,74,5,41,92,39,53
2074,60,90,50,100,3,73,74,1,156,0,0,53,130,6,32,0,0,0
2075,60,90,50,100,3,73,74,1,156,0,0,56,168,3,8,0,0,0
2077,60,90,50,100,3,73,74,1,156,0,0,59,85,6,40,101,44,57
